Fib Num,Runtime
1,0.0000004
0,0.0000009
2,0.0002353
3,0.0003203
4,0.0004314
5,0.0005141
6,0.0005722
7,0.0006261
8,0.0006784
9,0.0007342
10,0.0007850
11,0.0008332
12,0.0008820
13,0.0009283
14,0.0009780
15,0.0010248
16,0.0010727
17,0.0011184
18,0.0011638
19,0.0012166
20,0.0012672
21,0.0013190
22,0.0013730
23,0.0014196
24,0.0014699
25,0.0015238
26,0.0015737
27,0.0016213
28,0.0016748
29,0.0017273
30,0.0017759
31,0.0018285
32,0.0018775
33,0.0019241
34,0.0019709
35,0.0020179
36,0.0020671
37,0.0021165
38,0.0021629
39,0.0022097
40,0.0022599
41,0.0023098
42,0.0023605
43,0.0024145
44,0.0024627
45,0.0025131
46,0.0025631
47,0.0026157
48,0.0026674
49,0.0027228
50,0.0027735
51,0.0028238
52,0.0028703
53,0.0029265
54,0.0029804
55,0.0030313
56,0.0030794
57,0.0031252
58,0.0031757
59,0.0032269
60,0.0032772
61,0.0033290
62,0.0033820
63,0.0034300
64,0.0034820
65,0.0035363
66,0.0035840
67,0.0036337
68,0.0036870
69,0.0037398
70,0.0037871
71,0.0038357
72,0.0038834
73,0.0039301
74,0.0039756
75,0.0040298
76,0.0040797
77,0.0041315
78,0.0041803
79,0.0042300
80,0.0042831
81,0.0043307
82,0.0043823
83,0.0044314
84,0.0044793
85,0.0045293
86,0.0045765
87,0.0046201
88,0.0046646
89,0.0047090
90,0.0047550
91,0.0048026
92,0.0048789
93,0.0049383
94,0.0049901
95,0.0050428
96,0.0050928
97,0.0051402
98,0.0052234
99,0.0052766
100,0.0053360
